50000  0.010359
100000  0.022338
150000  0.029726
200000  0.046133
250000  0.047201
300000  0.061828
350000  0.079084
400000  0.094379
450000  0.087047
500000  0.101092
550000  0.116892
600000  0.131128
650000  0.147258
700000  0.163388
750000  0.176703
800000  0.198144
850000  0.164459
900000  0.179175
950000  0.194156
1000000  0.209863
1050000  0.224249
1100000  0.237781
1150000  0.256612
1200000  0.267989
1250000  0.287669
1300000  0.305704
1350000  0.322796
1400000  0.336091
1450000  0.349822
1500000  0.369014
1550000  0.390491
1600000  0.41119
1650000  0.330853
1700000  0.347801
1750000  0.366679
