#   line (B)  time (µs)
        1024       549.3
        2048       549.6
        4096       549.3
        8192       549.6
       16384       549.3
       32768       549.4
       65536       934.5
      131072       935.5
      262144       935.3
      524288      1113.0
     1048576      1398.3
     2097152      1454.6
     4194304      1583.5
     8388608      2908.9
    16777216      3998.4
    33554432      5024.7
    67108864      5140.7
